NAME OF SONG,RELEASE YEAR,SINGERS,MOVIE NAME,SONG DURATION,RATING,TYPE OF SONG,LINK TO AUDIO,LANGUAGE,genre
Morya Morya,2015,Amritraj,Dagdi Chawl,0:04:26,9.2,Religious,https://www.jiosaavn.com/song/morya-morya/PCo-eQ5bB1Y,MARATHI,
Vaat Disu De,2016,Ajay Gogavale,Jau Dya Na Balasaheb,0:05:31,8.5,Happy,https://www.jiosaavn.com/song/vaat-disu-de/BAsdeTx8UFg,MARATHI,
Saath De Tu Mala,2015,Avinash-Vishwajeet,Mumbai Pune Mumbai 2,0:05:05,8.5,Romantic,https://www.jiosaavn.com/song/saath-de-tu-mala/ATwGBRFDZEk,MARATHI,
Adugula Madgula,2019,Rohan Rohan,Baba,0:04:00,7.3,Comedy,https://www.jiosaavn.com/song/adugula-madgula/RzwhRDF1RnY,MARATHI,
Wajle Ki Bara,2010,Ajay-Atul,Natarang,0:06:17,8,Folk,https://www.jiosaavn.com/song/wajle-ki-bara/RyknUANfR2o,MARATHI,
Gulabachi Kali,2015,Amitraj,Tu Hi Re,0:04:38,7.7,Party,https://www.jiosaavn.com/song/gulabachi-kali/PDAGRhN7cWM,MARATHI,
Ye Re Ye Re Pausa,2018,"Shrikanth Nair	",Ye Re Ye Re Pausa,0:03:28,8,Comedy,https://www.jiosaavn.com/song/ye-re-ye-re-pausa/QTsGWwddRH4,MARATHI,
Dolby Walya,2016,Ajay-Atul,Jau Dya Na Balasaheb,0:06:17,8.9,Chill,"https://www.jiosaavn.com/song/dolby-walya/GEVbdBN,f0U",MARATHI,
Natarang Ubha,2010,Ajay-Atul,Natarang,0:04:26,7.9,Folk,https://www.jiosaavn.com/album/natarang/dmluvpE8yt4_,MARATHI,
Dur Dur,2014,Swapnil Bandholkar,Mitwaa,0:04:38,6,Romantic,https://www.jiosaavn.com/song/dur-dur/BAwDBC4EfWM,MARATHI,
Chand Matla,2016,Swapnil Bandholkar,Laal Ishq,0:04:48,8.7,Romantic,https://www.jiosaavn.com/song/chand-matla/BEUxBwJhcnc,MARATHI,
Vithala,2010,Avadhoot Gupte,Zenda,0:03:40,6.5,Religious,https://www.jiosaavn.com/song/vithala-vithala-konta-zenda/PQNcewxAX0A,MARATHI,
Man Mandira,2015,Shankar Mahadevan,Katyar Kaljat Ghusli,0:04:48,8.9,Slow,https://www.jiosaavn.com/song/vithala-vithala-konta-zenda/PQNcewxAX0A,MARATHI,
Jeev Ha Sang Na,2015,Amitraj,Tu Hi Re,0:03:28,5,Romantic,https://www.jiosaavn.com/song/jeev-ha-sang-na/MQNSHEVfDmo,MARATHI,
