SR NO,SONG NAME,YEAR,ALBUM/MOVIE NAME,DURATION,TYPE,LINK,LANGUAGE,GENRE,SINGERS,RATING
611,Ranjha Ranjha Kardi,2019,Ranjha Ranjha Kardi,15.02,Silent,https://gaana.com/song/ranjha-ranjha-kardi?autoplay=true,Punjabi,Other,Sharafat Ali khan,7
612,Mitti di khushboo,2014,Mitti di khushboo,4:46,Moonsoon Silent,https://gaana.com/song/mitti-di-khushboo-summer-mix?autoplay=true,Punjabi,Other,Ayushman Khurana,9
613,Pani Da Rang,2012,Vicky Donor,4:06,"Filmi ,Acoustic Pop",https://gaana.com/song/pani-da-rang?autoplay=true,Punjabi,Other,Ayushman Khurana,8
614,Saddi gali aja,2013,Nautanki Sala!,2:21,Dramatic Scamp!,https://gaana.com/song/02-saadi-galli-aajamp3?autoplay=true,Punjabi,Other,Ayushman Khurana,7
615,Moorni Banke,2018,Badhaai ho,3:38,Wedding,https://gaana.com/song/morni-banke?autoplay=true,Punjabi,Other,Guru Randhawa,8
616,Kithe Reh Gaya,2019,Kithe Reh Gaya,4:11,Wedding,https://gaana.com/song/kithe-reh-gaya?autoplay=true,Punjabi,Other,Neeti Mohan,8
617,Punjabi Wedding Song,2014,Hasee Toh Phasee,3:24,Wedding Rock,https://gaana.com/song/punjabi-wedding-song-3?autoplay=true,Punjabi,Other,others,9
618,London Thumakda,2014,Queen,3:35,Wedding,https://gaana.com/song/london-thumakda?autoplay=true,Punjabi,Other,Neha kakkar,9
619,Nachdene Saare,2016,Bar Bar Dekho,3:16,Wedding,https://gaana.com/song/nachde-ne-saare-3?autoplay=true,Punjabi,Other,others,8
620,Dum Dum,2010,Band Baja Barat,4:30,Wedding Party,https://gaana.com/lyrics/dum-dum-6,Punjabi,Other,Sukhwinder Singh,8
621,Ainvayi Ainvayi,2010,Band Baja Barat,3:46,Wedding,https://gaana.com/song/ainvayi-ainvayi,Punjabi,Other,Master Saleem,8
622,Baari barsi,2010,Band Baja Barat,4:43,Wedding,https://gaana.com/song/baari-barsi?autoplay=true,Punjabi,Other,Harshdeep Kaur,8.5
623,Siti wajhe Chobare,1980,Lakhi Banjara Siti Vaje Chobare,2:47,Swag,https://gaana.com/song/siti-wajhe-chobare?autoplay=true,Punjabi,Other,Lakhi Banjara,6
624,Lathe Di Chadar,1990,Lathe Di Chadar,3:03,Swag,https://gaana.com/song/lathe-di-chadar-16?autoplay=true,Punjabi,Other,Surinder Kaur,8
625,Mundian To Bach Ke,1991,Disco Pop Blast,4:07,Swag,https://gaana.com/song/mundian-to-bach-ke-17?autoplay=true,Punjabi,Other,Labh Janjua,8
626,Gulabo,1991,Disco Pop Blast,5:06,Swag,https://gaana.com/song/gulabo-1,Punjabi,Other,Saba Koti,7
627,Oye Hoye,1999,Oye Hoye!,5:02,Swag,https://gaana.com/song/dilan-diyan-choriyan-1,Punjabi,Other,Harbhajan Mann,8
628,Gallin Jog Na Hoye,2001,Gallin Jog Na Hoye,12:47,Simple,https://gaana.com/song/lap-lap-surma-1,Punjabi,Other,Bhai Harjinder Singh Ji,7
629,Lap Lap Surma,2002,Dilan Diyan Choriyan,5:01,Swag,https://gaana.com/album/gallin-jog-na-hoye,Punjabi,Other,Surjit Bindrakhia,6
630,Soorma,2006,Romeo,6:53,Basic,https://gaana.com/song/soorma-15,Punjabi,Other,Jazzy Bapache Indian,9
631,Mubarkan,2009,Vich No Tension,1:24,chill,https://gaana.com/song/mubarkan-2,Punjabi,Other,Bhinda Aujla,7
632,Munda,2012,Ultimate Punjabi Grooves,5:06,cool,https://gaana.com/song/munda-3,Punjabi,Other,Kanth Kaler,6
633,Peepni,2013,Smash Hits,3:58,Basic,https://gaana.com/song/peepni-2,Punjabi,Other,Rickie Rix,7
634,Mala Lagali Kunachi Uchaki,1972,Pinjara,0:03:55,Party,"https://www.jiosaavn.com/song/mala-lagali-kunachi-uchaki/QTkMexx,QgE",MARATHI,Party,Usha Mangeshkar,8.9
635,De Na Aekach Muka,1991,Palva Palvi,0:04:00,Party,https://www.jiosaavn.com/song/de-na-aekach-muka/QFoHYQRdVnc,MARATHI,Party,Raamlaxman,8.1
636,Cham cham karta,2005,Aga bai areccha,0:04:26,Party,https://www.jiosaavn.com/song/cham-cham-karta/JAoNBC1kbWM,MARATHI,Party,Vaishali Samant,8
637,Chimbh Bhijalele,2009,Bandh Premache,0:03:11,Party,https://www.jiosaavn.com/song/chimbh-bhijalele/HBhTQUB1B2c,MARATHI,Party,Shankar Mahadevan,8.9
638,Vaat Majhi Baghtoy Rickshawala,2009,Vaat Majhi Baghtoy Rickshawala,0:03:55,Party,https://www.jiosaavn.com/song/vaat-majhi-baghtoy-rickshawala/Hw0OQjh1W0k,MARATHI,Party,Rupesh Khutarkar,9.5
639,Dhagala Lagli Kal,2003,Non Stop Zakkas Dandiya,0:01:46,Party,https://www.jiosaavn.com/song/dhagala-lagli-kal/XR48Yi4AWgo,MARATHI,Party,Nitin Morajkar,8.3
640,Zingaat,2016,Sairat,0:03:55,Party,"https://www.jiosaavn.com/song/zingaat/LyI,VRhGZ2Y",MARATHI,Party,Ajay-Atul,8
641,Dhuvun Taak,2018,Mauli,0:03:18,Party,https://www.jiosaavn.com/song/dhuvun-taak/QV4GZiNeWXI,MARATHI,Party,Ajay-Atul,8
642,Awaz Vadav DJ,2015,Poshter Girl,0:04:26,Party,https://www.jiosaavn.com/song/awaz-vadav-dj/GQ1TdTl2ZUo,MARATHI,Party,Anand Shinde,8.8
643,Gulabachi Kali,2015,Tu Hi Re,0:04:38,Party,https://www.jiosaavn.com/song/gulabachi-kali/PDAGRhN7cWM,MARATHI,Party,Amitraj,7.7
644,Shitti Wajali Gaadi Sutali,2014,Rege,0:05:11,Party,https://www.jiosaavn.com/song/shitti-wajali-gaadi-sutali/CDseVzdHTwM,MARATHI,Party,Avadhoot Gupte,7.2
645,Hi Poli Saajuk,2013,Timepass,0:04:48,Party,https://www.jiosaavn.com/song/hi-poli-saajuk/Jj1TeUV3TWk,MARATHI,Party,Ketaki Mategaonkar,9.4
646,GOODBYES,2019,HOLLYWOODS BLEEDING,2:56,TRAP,https://gaana.com/song/goodbyes-57,ENGLISH,Party,POST MALONE,8.4
647,HATE ME,2006,FOILED,6:20,ROCK,https://gaana.com/song/into-the-ocean-3,ENGLISH,Party,BLUE OCTOBER,8.6
648,INTO THE OCEAN,2006,FOILED,4:02,ROCK,https://gaana.com/song/all-the-time-482,ENGLISH,Party,BLUE OCTOBER,9.2
649,LOVE HANGOVER,1976,DIANA ROSS,7:49,DISCO,https://gaana.com/song/love-hangover-22,ENGLISH,Party,DIANA ROSS,6.88
650,LOVE ROLLERCOASTER,1976,HONEY,4:05,FUNK,https://gaana.com/song/love-rollercoaster-67,ENGLISH,Party,OHIO PLAYERS,6.1
651,LET ME LOVE YOU,2005,ENCORE,3:50,EDM,https://gaana.com/song/let-me-love-you-415,ENGLISH,Party,JUSTIN BIEBER,6.47
652,I WILL ALWAYS LOVE YOU,1974,JOLENE,2:53,COUNTRY,https://gaana.com/song/i-will-always-love-you-57,ENGLISH,Party,DOLLY PARTON,8.5
653,SILLY LOVE SONGS,1976,WINGS AT THE SPEED OF SOUND,5:54,DISCO FUNK,https://gaana.com/song/silly-love-songs,ENGLISH,Party,WINGS,7.6
654,WHERE ARE U NOW,2015,SKRILLEX AND DIPLO PRESENT JACK U,3:10,EDM,https://gaana.com/song/where-are-u-now-7,ENGLISH,Party,JUSTIN BIEBER,8
655,SORRY,2015,PURPOSE,3:20,DANCEHALL-POP,https://gaana.com/song/sorry-578,ENGLISH,Party,JUSTIN BIEBER,7.4
656,INTO YOU,2016,DANGEROUS WOMAN,4:04,EDM,https://gaana.com/song/into-you-63,ENGLISH,Party,ARIANA GRANDE,7.2
657,I WANT YOU TO KNOW,2015,TRUE COLORS,3:59,EDM,https://gaana.com/song/i-want-you-to-know-63,ENGLISH,Party,SELENA GOMEZ,7.8
658,KILL EM WITH KINDNESS,2016,REVIVAL,3:37,DANCE,https://gaana.com/song/kill-em-with-kindness-4,ENGLISH,Party,SELENA GOMEZ,6.8
659,FIRST TIME,2017,STARGAZING,3:13,EDM,https://gaana.com/song/first-time-270,ENGLISH,Party,KYGO,8.6
660,ROSES,2018,FRIENDS KEEP SECRETS,3:43,EDM,https://gaana.com/song/roses-195,ENGLISH,Party,BENNY BLANCO,8.4
661,LOVE IN THE MIDDLE OF A FIREFIGHT,2014,"MONEY SUCKS ,FRIENDS -RULES",3:20,EDM,https://gaana.com/song/love-in-the-middle-of-a-firefight,ENGLISH,Party,DILLON FRANCIS,8.5
662,LEAN ON,2015,PEACE IS THE MISSSION,2:56,EDM,https://gaana.com/song/lean-on-70,ENGLISH,Party,MAJOR LAZER,6.8
663,POWERFULL,2015,PEACE IS THE MISSSION,3:26,EDM,https://gaana.com/song/powerfull-5,ENGLISH,Party,MAJOR LAZER,7.8
664,LAY ITALL ON ME,2017,WE THE GENERATION AND X,4:02,EDM,https://gaana.com/song/lay-it-on-me-44,ENGLISH,Party,ED SHEERAN,7.9
665,BUM BUM TAM TAM,2017,bum bum tam tam,2:50,FUNK,https://gaana.com/song/bum-bum-tam-tam-3,ENGLISH,Party,MC FIOTI,7
